"gene.name","Oligodendro","Microglia","aNSC_NPC","Astrocyte_qNSC","Neuroblast","Endothelial"
"Stk11ip",0,0,0.253503224589038,0,0,0
"Slc4a3",0,0,0,0,0,0
"Gm29065",0,0,0,0,0,0
"Gm29069",0,0,0,0,0,0
"Gm17751",0,0,0,0,0,0
"Gm816",0,0,0,0,0,0
"Epha4",0,-0.0156317533250255,0,-0.00651073417261375,0,0
"Gm28386",0,0,0,0,0.00930959529493556,0
"Gm28387",0,0,0,0,0,0
"Pax3",0,0,0,0,0,0
"Sgpp2",0,0.362110326557823,0,0,0,0
"Gm28410",0,0,0,0,0,0
"Farsb",0,0.0043913043966568,0,0,0,0
"BC035947",0,0,0,0,0,0
"Mogat1",0,0,0,-0.0164082734324629,0,0
"5730419F03Rik",0,0,0,0,0,0
"Gm29611",0,0,0,0,0,0
"Acsl3",-0.019442976260367,0,0,0,0,0
"Utp14b",0,0,0,0,0,-0.0110718992629393
"Gm29536",0,0,0,0,0,0
"Kcne4",0,0,0,0,0,0
"Gm29187",0,0,0,0,0,0
"Scg2",0,0,0,0,0,-0.303119138300597
"Ap1s3",0,0,0,0,0,0
"Wdfy1",0,0,0,0,0,0
"Mrpl44",0,0,0,0.476463304482448,0,0
"Serpine2",0,0.000259424514135119,0,0,0,0
"9830004L10Rik",0,0,0,0,0,0
"Fam124b",0,0,0,0,0,0
"2310015K22Rik",0,0,0,0,0,0
"Cul3",0,0,0,0,0,-0.00285656781914309
"Gm29125",0,0,0,0,0,0
"1700016L21Rik",0,0,0,0,0,0
"Gm45261",0,0,0,0,0,0
"Dock10",-0.0609135366561973,0,0,0,0,0
"Nyap2",0,0,0.0407823463621833,0,0,0
"Irs1",0,0,0,0,0,0
"Gm9747",0,0,0,0,0,0
"Rhbdd1",0,0,0,0,0,0
"Gm28940",-0.344800535855677,0,0,0,0,0
"Col4a4",0,0,0,0,0,0
"Col4a3",0,0,0,0,0,0
"Mff",0,0,0,0,0,0
"Tm4sf20",0,0,0,0,0,0
"Gm47791",0,0,0,0,0,0
"Gm28942",0,0,0,0,0,0
"Agfg1",0,0,0,0,0,0
"A030005L19Rik",0,0,0,0,0,0
"A030014E15Rik",0,0,0,0,0,0
"Gm6217",0,0,0,0,0,0
"A030003K21Rik",0,0,0,0,0,0
"Gm7544",0,0,0,0,0,0
"Gm47955",0,0,0,0,0,0
"Gm47959",0,0,0,0,0,0
"Slc19a3",0,0,0,0,0,0
"Krtap28-10",0,0,0,0,0,0
"Gm47969",0,0,0,0,0,0
"A030005K14Rik",0,0,0,0,0,0
"Krtap28-13",0,0,0,0,0,0
"Ccl20",0,0,0,0,0,0
"Daw1",0,0,0.182336233967351,0,0,0
"Sphkap",0,0,0,0,0,0
"4933436I20Rik",0,0,0,0,0,0
"Pid1",0,0,0.585967697758893,0,0,0
"Dner",0,0,0,0,0,0
"Trip12",0,-0.0539022001742313,0,0,0,0
"Fbxo36",0,0,0,0,0,0
"Slc16a14",0,0,0,0,0,0
